index,Company,TypeName,Inches,ScreenResolution,Cpu,ram,Memory,memory_space,memory_type,extend_memory,gpu_brand,OpSys,gpu_name,Weight,price,extend_memory_type
21,Lenovo,Gaming,16.0,"IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050",2.5,53227,HDD
22,HP,Notebook,16.0,1366x768,"AMD E-Series E2-9000e 1.5GHz",4,"500GB HDD",500GB," HDD",NULL,AMD,NA," Radeon R2",1.86,13746,NULL
23,Dell,"2 in 1 Convertible",13.0,"Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.62,43636,NULL
24,HP,Ultrabook,16.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.91,35112,NULL
25,Dell,Notebook,16.0,1366x768,"Intel Core i3 6006U 2GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 520",2.3,22305,NULL
26,Apple,Ultrabook,13.0,1440x900,"Intel Core i5 1.6GHz",8,"128GB Flash Storage",128GB," Flash Storage",NULL,Intel,macos," HD Graphics 6000",1.35,58555,NULL
27,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon 530",2.2,42624,NULL
28,Dell,Ultrabook,16.0,"Full HD 1920x1080","Intel Core i7 8650U 1.9GHz",8,"256GB SSD +  256GB SSD",256GB,SSD,NULL,Intel,windows," UHD Graphics 620",1.88,69157,NULL
29,HP,Notebook,17.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce 930MX",2.5,47739,NULL
30,Chuwi,Notebook,16.0,"Full HD 1920x1080","Intel Atom x5-Z8300 1.44GHz",4,"64GB Flash Storage",64GB," Flash Storage",NULL,Intel,windows," HD Graphics",1.89,13053,NULL
31,Asus,Notebook,14.0,1366x768,"AMD E-Series E2-6110 1.5GHz",2,"32GB Flash Storage",32GB," Flash Storage",NULL,AMD,windows," Radeon R2",1.65,10603,NULL
32,HP,Notebook,17.0,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz",4,"500GB HDD",500GB," HDD",NULL,AMD,windows," Radeon 530",2.71,23390,NULL
33,Dell,Ultrabook,13.0,"Touchscreen / Quad HD+ 3200x1800","Intel Core i7 8550U 1.8GHz",16,"512GB SSD",512GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.2,99580,NULL
34,Apple,Ultrabook,13.0,1440x900,"Intel Core i5 1.6GHz",8,"256GB Flash Storage",256GB," Flash Storage",NULL,Intel,macos," HD Graphics 6000",1.35,53173,NULL
35,Lenovo,Notebook,14.0,1366x768,"Intel Celeron Dual Core N3350 1.1GHz",4,"64GB Flash Storage",64GB," Flash Storage",NULL,Intel,windows," HD Graphics 500",1.44,13267,NULL
36,Acer,Notebook,16.0,1366x768,"Intel Core i3 7130U 2.7GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,linux," HD Graphics 620",2.1,19554,NULL
37,Dell,Notebook,17.0,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,AMD,windows," Radeon 530",2.8,52161,HDD
38,HP,Notebook,16.0,1366x768,"Intel Core i5 7200U 2.5GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 620",1.86,26037,NULL
39,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce 930MX ",2.1,46833,NULL
40,Asus,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,linux," HD Graphics 620",2,20726,NULL
41,Dell,Gaming,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1060",2.65,79867,HDD
42,Asus,Notebook,16.0,1366x768,"Intel Core i5 7200U 2.5GHz",8,"1TB HDD",1TB," HDD",NULL,Nvidia,linux," GeForce 940MX",2.3,27865,NULL
43,Acer,Notebook,16.0,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",4,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",2.2,36337,NULL
44,Dell,"2 in 1 Convertible",17.0,"Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",12,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce 150MX",2.77,53227,NULL
45,Apple,Ultrabook,13.0,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.0GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,macos," Iris Graphics 540",1.37,75604,NULL
47,Asus,Gaming,17.0,"Full HD 1920x1080","AMD Ryzen 1700 3GHz",8,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,AMD,windows," Radeon RX 580",3.2,69211,HDD
48,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon R5 M430",2.3,34046,NULL
49,Asus,Notebook,17.0,1366x768,"Intel Pentium Quad Core N4200 1.1GHz",4,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce 920MX",2.8,24828,NULL
51,Acer,Notebook,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce MX150",2.2,44808,NULL
52,HP,Notebook,16.0,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz",4,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon R4 Graphics",1.86,21232,NULL
53,HP,Notebook,13.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"512GB SSD",512GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.49,58768,NULL
54,Acer,Notebook,16.0,1366x768,"Intel Core i3 7100U 2.4GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 620",2.4,20460,NULL
55,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon 520",2.13,40908,NULL
56,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"128GB SSD",128GB," SSD",NULL,Intel,windows," HD Graphics 520",1.91,23390,NULL
57,Asus,Notebook,16.0,1366x768,"Intel Core i5 7200U 2.5GHz",4,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",2,31232,NULL
58,MSI,Gaming,17.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  2TB HDD",256GB," SSD   ",2TB,Nvidia,windows," GeForce GTX 1070",2.43,130483,HDD
59,Asus,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"256GB SSD",256GB," SSD",NULL,Intel,linux," HD Graphics 520",2,22111,NULL
60,Dell,Notebook,17.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"256GB SSD +  2TB HDD",256GB," SSD   ",2TB,AMD,windows," Radeon 530",2.8,69211,HDD
61,Dell,Ultrabook,14.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.7,46833,NULL
62,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,NA," HD Graphics 620",1.7,31915,NULL
63,Asus,Notebook,14.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.4,50136,NULL
64,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.86,36763,NULL
65,Asus,Ultrabook,16.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"512GB SSD",512GB," SSD",NULL,Nvidia,windows," GeForce GTX 1050 Ti",1.8,105654,NULL
66,HP,Notebook,16.0,1366x768,"Intel Core i3 6006U 2GHz",4,"500GB HDD",500GB," HDD",NULL,AMD,windows," Radeon 520",1.86,23373,NULL
67,HP,Notebook,14.0,1366x768,"Intel Celeron Dual Core N3060 1.6GHz",4,"32GB SSD",32GB," SSD",NULL,Intel,windows," HD Graphics 400",1.44,12201,NULL
68,Lenovo,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 620",1.9,29251,NULL
69,Asus,Gaming,17.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12,"1TB HDD",1TB," HDD",NULL,Nvidia,linux," GeForce GTX 1050 Ti",3,50563,NULL
70,Microsoft,Ultrabook,14.0,"Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz",4,"128GB SSD",128GB," SSD",NULL,Intel,windows," HD Graphics 620",1.252,58022,NULL
71,Dell,Ultrabook,13.0,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",64,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon 530",1.4,50882,NULL
72,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon 530",2.2,46354,NULL
73,MSI,Gaming,17.0,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050",2.7,58342,HDD
74,Acer,Notebook,14.0,1366x768,"Intel Core i3 6006U 2GHz",8,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 520",2.1,20726,NULL
75,Asus,Gaming,16.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce GTX 1050",2.2,50563,NULL
76,Lenovo,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"2TB HDD",2TB," HDD",NULL,Intel,NA," HD Graphics 620",2.2,27652,NULL
77,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Intel,windows," UHD Graphics 620",2.02,45554,HDD
78,Acer,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce MX130",2.2,28238,NULL
79,HP,Notebook,17.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce 930MX",2.5,52055,HDD
80,Dell,Ultrabook,16.0,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.88,58403,NULL
81,Apple,Ultrabook,12.0,"IPS Panel Retina Display 2304x1440","Intel Core i5 1.3GHz",8,"512GB SSD",512GB," SSD",NULL,Intel,macos," HD Graphics 615",0.92,80453,NULL
82,HP,Notebook,14.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.63,45821,NULL
83,Lenovo,Notebook,16.0,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz",4,"128GB SSD",128GB," SSD",NULL,AMD,windows," R4 Graphics",2.2,21259,NULL
84,Acer,Notebook,16.0,1366x768,"AMD A9-Series 9420 3GHz",4,"1TB HDD",1TB," HDD",NULL,AMD,windows," Radeon R5",2.1,21046,NULL
85,Dell,Gaming,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050 Ti",2.65,71875,HDD
86,HP,Ultrabook,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce GTX 940MX",1.83,37243,NULL
87,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.96,31914,NULL
88,Asus,Gaming,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1060",2.2,77203,HDD
89,Dell,Ultrabook,13.0,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.21,87859,NULL
90,Asus,Gaming,16.0,"Full HD 1920x1080","AMD FX 9830P 3GHz",8,"1TB HDD",1TB," HDD",NULL,AMD,windows," Radeon RX 560",2.45,37243,NULL
91,Acer,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",2,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce MX150",2.2,36710,NULL
92,HP,Notebook,13.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"512GB SSD",512GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.49,63776,NULL
93,Dell,Gaming,16.0,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce GTX 1060",2.65,63670,NULL
94,Asus,Ultrabook,14.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.25,55891,NULL
95,Acer,"2 in 1 Convertible",13.0,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.5,45128,NULL
96,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"1TB HDD",1TB," HDD",NULL,AMD,linux," Radeon R5 M430",2.2,31963,NULL
97,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"256GB SSD",256GB," SSD",NULL,AMD,linux," Radeon R5 M430",2.2,25841,NULL
98,Asus,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",6,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce 920M",2,30743,NULL
99,HP,Gaming,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050",2.62,66547,HDD
100,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon 530",1.91,38308,NULL
101,HP,Notebook,16.0,"Full HD 1920x1080","AMD E-Series E2-9000e 1.5GHz",4,"500GB HDD",500GB," HDD",NULL,AMD,windows," Radeon R2",2.1,18595,NULL
102,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"1TB HDD",1TB," HDD",NULL,AMD,linux," Radeon 520",2.2,34472,NULL
103,HP,Ultrabook,13.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce MX150",1.38,59620,NULL
104,Microsoft,Ultrabook,14.0,"Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.252,71395,NULL
105,HP,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",6,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce 940MX",1.58,35112,NULL
106,Lenovo,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 520",1.85,22106,NULL
107,Asus,Ultrabook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce 940MX",1.3,63563,NULL
108,MSI,Gaming,16.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050 Ti",2.2,69211,HDD
109,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.58,78854,NULL
110,Asus,Ultrabook,16.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,Nvidia,windows," GeForce MX150",1.5,67239,HDD
111,Dell,Ultrabook,13.0,"Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7560U 2.4GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," Iris Plus Graphics 640",1.23,73473,NULL
112,Lenovo,"2 in 1 Convertible",13.0,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.37,74539,NULL
113,HP,Notebook,14.0,"IPS Panel 1366x768","Intel Core i5 8250U 1.6GHz",4,"500GB HDD",500GB," HDD",NULL,Intel,windows," UHD Graphics 620",1.63,38468,NULL
114,Dell,Ultrabook,13.0,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.21,86793,NULL
116,HP,Notebook,14.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"512GB SSD",512GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.63,57756,NULL
117,Dell,Notebook,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,Nvidia,windows," GeForce 940MX",2.16,60224,HDD
118,Asus,Notebook,17.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce 920MX",2,30050,NULL
119,Asus,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce 940MX",1.7,59567,NULL
120,Acer,Notebook,16.0,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz",6,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 620",2.1,25521,NULL
121,MSI,Gaming,16.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  2TB HDD",256GB," SSD   ",2TB,Nvidia,windows," GeForce GTX 1070",1.8,119427,HDD
122,Lenovo,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,NA," GeForce 940MX",2.2,33513,NULL
123,HP,Notebook,17.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"512GB SSD",512GB," SSD",NULL,Nvidia,windows," GeForce 930MX ",2.5,67719,NULL
124,Acer,Notebook,16.0,1366x768,"AMD A9-Series 9420 3GHz",4,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon R5",2.1,24029,NULL
126,HP,Notebook,14.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"1TB HDD",1TB," HDD",NULL,Intel,windows," UHD Graphics 620",1.63,43263,NULL
127,Asus,Notebook,14.0,1366x768,"AMD E-Series 6110 1.5GHz",4,"64GB SSD",64GB," SSD",NULL,AMD,windows," Radeon R2",1.65,14811,NULL
128,Dell,Notebook,17.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"256GB SSD +  2TB HDD",256GB," SSD   ",2TB,AMD,windows," Radeon 530",2.8,74379,HDD
129,HP,Notebook,17.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",2.5,49444,NULL
130,Dell,Notebook,16.0,1366x768,"Intel Core i5 7200U 2.5GHz",8,"1TB HDD",1TB," HDD",NULL,AMD,windows," Radeon R7 M445",2.36,34045,NULL
131,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD",1TB," HDD",NULL,AMD,windows," Radeon R5 M430",2.2,23923,NULL
132,Acer,Ultrabook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.6,47100,NULL
133,Acer,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce MX130",7.2,30476,NULL
134,HP,Notebook,16.0,1366x768,"Intel Core i7 7500U 2.7GHz",8,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 620",2.05,31861,NULL
135,HP,Notebook,14.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.63,52641,NULL
136,Lenovo,Notebook,16.0,1366x768,"Intel Celeron Dual Core N3350 1.1GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,NA," HD Graphics 500",1.9,13446,NULL
137,Asus,Gaming,17.0,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050",3,49977,HDD
138,Lenovo,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"1TB HDD",1TB," HDD",NULL,Nvidia,NA," GeForce 920MX",2.2,26587,NULL
139,HP,Notebook,13.0,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.32,37243,NULL
140,Acer,Notebook,17.0,"IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce MX130",3,34898,NULL
141,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon RX 550",1.75,59462,NULL
142,Lenovo,Gaming,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,NA," GeForce GTX 1050M",2.4,46300,NULL
143,Toshiba,Notebook,16.0,1366x768,"Intel Core i5 6200U 2.3GHz",4,"500GB HDD",500GB," HDD",NULL,Intel,windows," HD Graphics 520",2.1,32075,NULL
